CustomerID,Name,Email,Phone,BirthDate,JoinDate,Status
386ecbe0-6b65-46a4-8b81-48f6b38a088c,Allison Hill,donaldgarcia@example.net,+1-219-560-0133,1993-03-09,2025-03-23,active
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,Donald Booth,helenpeterson@example.org,651.216.1559,1994-02-13,2024-05-31,actve
35a240ae-5af3-4553-9ec4-2e0829a3b2e9,,smiller@example.net,+1-659-931-0341x316,1987-09-21,2024-01-05,inactive
3602f8ac-10f1-4c81-848a-aa9e66b2bc5b,Mia Sutton,lynchgeorge@example.net,527.264.8350,1999-03-31,2023-10-21,INACTIVE
0c0fd195-c17a-408a-9745-d6d87e570ddf,Latoya Robbins,dianafoster@example.net,724.523.8849x696,1953-11-16,2024-08-17,actve
f42d47cc-00d4-4f59-b427-3ca3287d06ca,,hernandezernest@example.net,(791)366-9784x80184,1964-06-07,2024-04-23,active
ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,,teresa28@example.org,+1-948-293-2528x8095,1952-01-28,2024-01-02,Active
337ea2df-b09b-4a5c-badc-c32ac1590f53,,john39@example.org,671-882-2782,1958-11-16,2024-10-02,INACTIVE
e7c99b26-1141-45c6-ba9b-edd40f1259e0,Jennifer Powers,samuel87@example.org,531.250.9839,1949-04-17,2025-02-22,INACTIVE
b92da22b-21df-406f-8a0b-3c3336d8393a,,heathchad@example.org,5672073,1989-12-26,2024-07-11,Active
6c006f61-23e2-4cb4-b2d8-567d894a05e4,,esanchez@gmail,(331)516-5667x01065,1957-07-01,2023-04-09,INACTIVE
fc3d3348-008d-4127-a104-61e32a25a888,,joshuawright@example.org,581.808.0132x677,2005-11-15,2022-09-17,INACTIVE
82010c62-f5f5-4b22-8e8f-a8e0284d82e5,Timothy Glover,rodney87@example.org,243.909.8050,1978-09-06,2024-09-20,INACTIVE
43ff5011-3d1a-45dd-906e-5a9ab758588d,,yorkcasey@example.org,+1-736-619-3990x91699,1958-05-12,2025-04-23,Active
48f4ef12-5e99-43d2-be89-6c64e117dac3,,panderson@gmail,675-410-7991x1838,1968-03-18,2022-10-02,inactive
81627cf1-4394-42e6-9a58-7e8aa25d6b29,Roy Warner,contrerasangela@example.net,524-711-8244,1958-04-26,2025-05-20,INACTIVE
e623a689-5d59-4d2a-8eea-04e70ab54bde,Taylor Mathis Jr.,ccalderon@example.org,724-427-8680x11280,1973-09-16,2023-01-01,active
61ee411a-1bac-47a7-b386-f7a4c991603f,,nolanjason@example.org,+1-815-586-9232x26025,1962-08-14,2023-02-20,INACTIVE
2db69edb-42de-4fcc-b86c-2ca2e08596db,,garrisonjeffrey@example.com,(843)730-3654x145,1946-05-05,2022-12-14,actve
505cc686-9f87-4ce7-9487-fd4febb7a385,Victoria Johnson,yreed@example.com,(798)816-9340x60883,1949-03-23,2025-04-14,Active
9479e1e6-c927-4d9b-ae0d-264835ce8841,,cortezkevin@example.com,+1-865-264-8236x62994,1965-02-20,2023-09-06,inactive
79a28903-fbe3-4b24-beae-00320bd4a990,Erica Ramos,williamleon@example.net,(514)589-5134,1954-06-28,2022-07-25,inactive
76f2dbfe-cd29-436f-a222-82e174daaebf,Patricia Gibson,jennifercruz@example.com,220.516.3287,2006-11-23,2022-12-23,inactive
8a476a87-e49d-481d-91d8-7c6455fa1ab8,Victoria Larson,usalazar@example.net,(387)627-7434x87347,1960-06-02,2023-08-14,INACTIVE
d5f25073-f414-42b1-a442-9ebbda7b9095,Chris Reyes,jasminebrown@example.com,787-660-3669x09670,1995-09-26,2024-02-13,active
978648f8-64de-42e6-a82c-7d7b06e745f9,,vmedina@example.net,+1-937-434-6706x562,1986-10-22,2024-09-24,active
a6d964a3-f510-4b53-87fe-e39f1190f938,Alyssa Day,michellewhite@example.com,(253)775-5646x4170,1959-09-21,2025-03-23,active
f6b751f7-9b74-4245-9b1b-c8952af43ab7,,websterstefanie@example.org,9926327193,1996-08-25,2024-01-12,inactive
ce3714af-99b4-4350-af2b-99b4d9acd158,,stricklandfrank@example.com,590-349-6631,1991-11-27,2023-09-29,actve
859131d2-bbda-4242-ad17-4fc96f7c15ea,,hoganashlee@example.org,(786)951-8506x716,1992-08-05,2023-02-10,inactive
5ad5cf06-364d-4c87-bcd0-129d2e8d0e87,,christina87@example.com,(294)953-1473x79965,2002-05-15,2023-11-04,Active
3d85de89-c217-4429-8e20-07247d137018,Gina Beard,angela83@example.org,5049282,1993-06-18,2024-03-10,active
7428a656-b3ee-4d3b-9a10-412954aebd1b,,fbrewer@example.com,9147363495,1973-06-01,2024-10-19,INACTIVE
c31edbbc-f36c-462b-892e-6161be2d740a,,kristopher31@example.net,4231028,1965-12-07,2022-12-20,INACTIVE
f1afdb65-b289-4224-8ac9-778d8da8eee4,Cheryl Rodgers,jenny89@example.com,434-635-2408,1947-07-24,2022-09-10,Active
93b7a886-12f7-4c97-bde3-1a516694c343,,danamullins@example.org,6949777520,1952-03-23,2022-09-27,actve
9b37a22b-6a8a-416f-83b2-90d08edddfcd,,hernandezlisa@example.com,2429098,1961-05-08,2022-12-19,INACTIVE
68949b8d-00af-4b3a-a812-859a1337739e,,kimberlyjames@example.com,496-549-9091x3341,1956-04-16,2024-10-22,Active
e88da719-2624-4b40-a5cb-63a2398d1ca6,,enorris@example.com,5348471349,1952-04-09,2024-10-10,inactive
f1533ae8-670a-4c5c-b321-bf214dd8eb85,Charles Brown,brooke94@example.com,3086308,1976-05-10,2025-05-22,Active
7de1bdfe-d072-4b5c-a281-40446f962882,Joshua Kim,prestonjessica@example.net,901-639-9049x027,1956-10-23,2024-12-13,inactive
fcf56188-d32e-4dcd-83bc-9478dd6ac7b8,,harrisonricky@example.com,+1-712-356-7468x07154,1997-01-12,2024-03-06,active
17dc8eff-6872-43f9-8d60-593603802b70,Sean Murray,lopezmichael@example.com,+1-570-434-8247x7109,1965-08-10,2024-10-20,active
81fb18b3-c9a7-491f-af2a-e71357021049,Ryan Wilson,hollanderic@example.net,484-367-7378x2639,1963-04-06,2024-03-23,INACTIVE
61985d54-cfb8-4e6f-a9d6-8f23b489d070,Aaron Barber,cgrimes@example.net,855.288.6753x3963,1966-02-11,2024-06-21,actve
56abf2f1-43d8-4870-b81d-baa1c8120a8e,Matthew Hoover,tylerjohnson@example.net,001-851-471-8702,1949-07-21,2024-06-16,active
530a37df-0bc6-4066-8769-165fe746ccb9,Jennifer Miller,melissa86@example.com,+1-978-409-1343x1611,1991-09-09,2023-09-26,INACTIVE
a34db7c5-760d-4bbb-bb70-b3a124a35cf2,,carternicholas@example.org,886.592.2219,1978-04-30,2024-12-09,actve
